編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
61,住宅竊盜,1040129,13~15,台北市松山區延壽街121~150號,25.05707,121.5647381
62,住宅竊盜,1040129,13~15,台北市信義區富台里忠孝東路五段423巷5弄1~30號,25.041661,121.57526400000006
63,住宅竊盜,1040130,13~15,台北市信義區廣居里忠孝東路五段372巷27弄61~90號,25.0400079,121.57582200000002
64,住宅竊盜,1040131,22~24,台北市南港區重陽路57巷1~30號,25.0578506,121.5958895
65,住宅竊盜,1040201,10~12,台北市北投區雙全街62巷1~30號,25.137616,121.50067999999999
66,住宅竊盜,1040201,10~12,台北市松山區敦化北路199巷100弄1~30號,25.048607,121.55023099999994
67,住宅竊盜,1040201,19~21,台北市信義區信義路六段15巷1~30號,25.0342949,121.57499519999999
68,住宅竊盜,1040201,22~24,台北市北投區中心里中和街31~60號,25.13789,121.50281999999993
69,住宅竊盜,1040202,07~09,台北市中正區網溪里廈門街91~120號,25.0229517,121.5173403
70,住宅竊盜,1040202,19~21,台北市北投區中心里中和街31~60號,25.13789,121.50281999999993
71,住宅竊盜,1040204,16~18,台北市中山區農安街125巷1~30號,25.0650049,121.5298957
72,住宅竊盜,1040205,01~03,台北市士林區百齡里福港街211~240號,25.0846678,121.5174356
73,住宅竊盜,1040205,04~06,台北市內湖區樂康里康樂街111巷31~60號,25.0704821,121.62047630000006
74,住宅竊盜,1040205,13~15,台北市萬華區大理街170巷1~30號,25.0337934,121.49362940000003
75,住宅竊盜,1040206,07~09,台北市中山區合江街20巷1~30號,25.054903,121.53918399999998
76,住宅竊盜,1040207,22~24,台北市中正區三愛里新生南路一段121~150號,25.0388819,121.53276600000004
77,住宅竊盜,1040208,04~06,台北市大安區新龍里信義路三段134巷61~90號,25.029294,121.53983900000003
78,住宅竊盜,1040209,01~03,台北市文山區忠順里忠順街二段1~30號,24.9847799,121.56208400000003
79,住宅竊盜,1040210,01~03,台北市北投區大同路200巷1~30號,25.137655,121.49945600000001
80,住宅竊盜,1040211,16~18,台北市內湖區葫洲里民權東路六段296巷31~60號,25.070812,121.60831000000007
81,住宅竊盜,1040212,19~21,台北市文山區興安里22鄰景華街176巷1~30號,24.9972786,121.54820199999995
82,住宅竊盜,1040212,22~24,台北市萬華區萬大路493巷48弄1~30號,25.0196499,121.499322
83,住宅竊盜,1040213,04~06,台北市中山區八德路二段210巷1~30號,25.0459343,121.53916379999998
84,住宅竊盜,1040213,07~09,台北市中山區農安街1~30號,25.0649794,121.52919180000004
85,住宅竊盜,1040215,07~09,台北市大安區法治里通化街173巷1~30號,25.027893,121.55372599999998
86,住宅竊盜,1040215,07~09,台北市中山區長安東路二段1~30號,25.0486369,121.53020990000005
87,住宅竊盜,1040215,10~12,台北市北投區吉利里20鄰石牌路一段39巷61~90號,25.1160949,121.50960650000002
88,住宅竊盜,1040215,22~24,台北市信義區和平東路三段661~690號,25.0123447,121.56346819999999
89,住宅竊盜,1040216,10~12,台北市中正區文盛里羅斯福路三段210巷8弄1~30號,25.0183867,121.52921809999998
90,住宅竊盜,1040216,13~15,台北市內湖區新明路246巷3弄1~30號,25.0570536,121.58366430000001
91,住宅竊盜,1040216,16~18,台北市內湖區西湖里內湖路一段91巷121~150號,25.0840103,121.56224320000001
92,住宅竊盜,1040216,22~24,台北市松山區南京東路五段211~240號,25.05189,121.55780000000004
93,住宅竊盜,1040218,04~06,台北市大同區民權里民權西路160巷30弄1~30號,25.0613975,121.51585599999999
94,住宅竊盜,1040219,13~15,台北市信義區黎忠里和平東路三段391巷8弄31~60號,25.0211064,121.55791099999999
95,住宅竊盜,1040219,16~18,台北市北投區文林里致遠一路一段125巷1~30號,25.1075163,121.51761269999997
96,住宅竊盜,1040219,16~18,台北市信義區四育里虎林街46巷1~30號,25.047126,121.57659890000002
97,住宅竊盜,1040219,19~21,台北市信義區四育里虎林街46巷1~30號,25.047126,121.57659890000002
98,住宅竊盜,1040220,04~06,台北市北投區文林里致遠一路一段31~60號,25.1081636,121.51668960000006
99,住宅竊盜,1040221,19~21,台北市大安區通化里17鄰通化街39巷62弄1~30號,25.0322925,121.5543639
100,住宅竊盜,1040222,01~03,台北市文山區樟新里樟新街32巷1~30號,24.9784842,121.55484539999998
101,住宅竊盜,1040223,10~12,台北市南港區中南里中南街74巷31~60號,25.053507,121.61408970000002
102,住宅竊盜,1040223,13~15,台北市信義區大仁里福德街84巷1弄1~30號,25.037405,121.58128699999997
103,住宅竊盜,1040223,19~21,台北市士林區蘭雅里德行東路31~60號,25.1069338,121.52620839999997
104,住宅竊盜,1040223,22~24,台北市士林區義信里大南路61~90號,25.088998,121.52477299999998
105,住宅竊盜,1040224,10~12,台北市萬華區萬大路493巷48弄1~30號,25.0196499,121.499322
106,住宅竊盜,1040224,16~18,台北市北投區中心里8鄰泉源路31~60號,25.1416233,121.51024099999995
107,住宅竊盜,1040224,19~21,台北市內湖區西湖里26鄰內湖路一段285巷65弄61~90號,25.0844318,121.56951860000004
108,住宅竊盜,1040225,04~06,台北市中正區黎明里南陽街1~30號,25.0442628,121.51600880000001
109,住宅竊盜,1040225,07~09,台北市士林區聖山里忠誠路一段147巷1~30號,25.106244,121.530126
110,住宅竊盜,1040226,01~03,台北市大安區義安里敦化南路二段63巷31~60號,25.0310298,121.55059749999998
111,住宅竊盜,1040226,13~15,台北市中正區幸市里臨沂街33巷1~30號,25.0397095,121.53131000000008
112,住宅竊盜,1040226,19~21,台北市內湖區西湖里內湖路一段323巷14弄1~30號,25.0834121,121.56779340000003
113,住宅竊盜,1040227,01~03,台北市萬華區西園路二段151~180號,25.0292384,121.49607960000003
114,住宅竊盜,1040227,10~12,台北市北投區中央里大興街24巷7弄1~30號,25.1288871,121.49900950000006
115,住宅竊盜,1040227,22~24,台北市萬華區西寧南路206巷1~30號,25.0431529,121.505942
116,住宅竊盜,1040228,19~21,台北市萬華區東園街73巷61~90號,25.0265484,121.49806460000002
117,住宅竊盜,1040304,01~03,台北市北投區福興里自強街5巷61~90號,25.1110219,121.51188439999999
118,住宅竊盜,1040304,16~18,台北市士林區社新里延平北路六段273巷1~30號,25.089215,121.50664340000003
119,住宅竊盜,1040304,16~18,台北市內湖區湖興里成功路二段312巷31~60號,25.0673299,121.58904039999993
120,住宅竊盜,1040305,04~06,台北市北投區吉慶里11鄰致遠二路1~30號,25.1142676,121.51200649999998
121,住宅竊盜,1040305,13~15,台北市內湖區葫洲里2鄰民權東路六段280巷25弄1~30號,25.070445,121.6054421
122,住宅竊盜,1040306,01~03,台北市內湖區大湖里大湖山莊街121~150號,25.086285,121.60146699999996
123,住宅竊盜,1040306,19~21,台北市大安區建安里忠孝東路四段181巷40弄1~30號,25.0439852,121.55048639999995
124,住宅竊盜,1040307,04~06,台北市北投區大同里大業路481~510號,25.133165,121.49601489999998
125,住宅竊盜,1040308,16~18,台北市萬華區內江街151~180號,25.0418406,121.50044839999998
126,住宅竊盜,1040308,22~24,台北市萬華區中華路二段416巷1~30號,25.026718,121.50361700000008
127,住宅竊盜,1040310,10~12,台北市萬華區昆明街211~240號,25.0387967,121.50414260000002
128,住宅竊盜,1040310,10~12,台北市萬華區昆明街211~240號,25.0387967,121.50414260000002
129,住宅竊盜,1040310,22~24,台北市士林區天母里中山北路七段219巷1~30號,25.1280356,121.53279700000007
130,住宅竊盜,1040310,22~24,台北市松山區八德路四段106巷10弄1~30號,25.047257,121.56102699999997
131,住宅竊盜,1040312,01~03,台北市中正區水源里羅斯福路四段61~90號,25.0138296,121.53514580000001
132,住宅竊盜,1040312,10~12,台北市大同區至聖里大龍街259巷10弄1~30號,25.0632657,121.51604969999994
133,住宅竊盜,1040312,16~18,台北市大安區古莊里浦城街13巷1~30號,25.024505,121.52718549999997
134,住宅竊盜,1040313,01~03,台北市北投區中庸里10鄰大同街181~210號,25.138526,121.49933829999998
135,住宅竊盜,1040314,01~03,台北市文山區試院里和興路91~120號,24.9853697,121.54937569999993
136,住宅竊盜,1040315,01~03,台北市萬華區長泰街271~300號,25.0212289,121.49394819999998
137,住宅竊盜,1040316,07~09,台北市大安區和平東路一段1~30號,25.0267059,121.53072399999996
