編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
66,自行車竊盜,1040225,04~06,台北市大安區黎孝里和平東路三段271-300號,25.0223056,121.5550507
67,自行車竊盜,1040225,10~12,台北市信義區基隆路二段31-60號,25.0315728,121.5589678
68,自行車竊盜,1040226,22~24,台北市文山區樟腳里木新路三段95巷31-60號,24.9824267,121.5645888
69,自行車竊盜,1040228,16~18,台北市南港區新富里忠孝東路七段631-660號,25.053385,121.615939
70,自行車竊盜,1040301,01~03,台北市大安區光信里5鄰光復南路421-450號,25.0356774,121.5572767
71,自行車竊盜,1040306,10~12,台北市文山區景華里三福街1-30號,24.9971944,121.5424725
72,自行車竊盜,1040306,13~15,台北市中山區錦州街331-360號,25.0603321,121.5389115
73,自行車竊盜,1040307,10~12,台北市松山區南京東路三段331-360號,25.0519952,121.5475148
74,自行車竊盜,1040308,07~09,台北市大安區法治里通化街181-210號,25.0270564,121.553446
75,自行車竊盜,1040308,22~24,台北市南港區東明里家樂福前,25.052979,121.6004967
76,自行車竊盜,1040314,13~15,台北市南港區合成里忠孝東路六段451-480號,25.0504707,121.5932908
77,自行車竊盜,1040315,04~06,台北市大安區古莊里羅斯福路二段101巷1-30號,25.0246043,121.526585
78,自行車竊盜,1040315,07~09,台北市大安區和平東路一段151-180號,25.026505,121.531087
79,自行車竊盜,1040316,19~21,台北市大安區學府里羅斯福路四段1-30號,25.0169587,121.5338507
80,自行車竊盜,1040317,10~12,台北市大安區華聲里市民大路四段211-240號,25.0446729,121.5569302
81,自行車竊盜,1040318,07~09,台北市北投區清江里三合街二段481-510號,25.1262794,121.5013501
82,自行車竊盜,1040318,10~12,台北市松山區松河街91-120號,25.0509387,121.5746133
83,自行車竊盜,1040318,16~18,台北市大安區福住里新生南路二段1-30號,25.0316869,121.53299
84,自行車竊盜,1040319,07~09,台北市南港區新富里研究院路一段31-60號,25.053728,121.616586
85,自行車竊盜,1040319,10~12,台北市士林區中山北路五段61-90號,25.0836293,121.5256097
86,自行車竊盜,1040320,10~12,台北市信義區忠孝東路五段391-420號,25.040697,121.575354
87,自行車竊盜,1040321,13~15,台北市大安區黎和里和平東路三段391-420號,25.0179649,121.559243
88,自行車竊盜,1040322,16~18,台北市大安區古莊里羅斯福路二段101巷1-30號,25.0246043,121.526585
89,自行車竊盜,1040323,10~12,台北市大安區敦安里敦化南路一段295巷31-60號,25.03548,121.5502533
90,自行車竊盜,1040327,13~15,台北市中正區建國里博愛路121-150號,25.0391867,121.5111959
91,自行車竊盜,1040328,19~21,台北市中山區大直捷運站1號出口旁,25.079476,121.546894
92,自行車竊盜,1040329,10~12,台北市中正區水源里羅斯福路四段52巷16弄口,25.0142965,121.5339266
93,自行車竊盜,1040329,13~15,台北市中正區文盛里汀州路三段151-180號,25.015872,121.53136
94,自行車竊盜,1040329,16~18,台北市南港區東新里興南街64巷4弄1-30號,25.0559083,121.6017373
95,自行車竊盜,1040331,10~12,台北市萬華區艋舺大道181-210號,25.0277865,121.4903886
96,自行車竊盜,1040402,07~09,台北市大安區古莊里浦城街6巷1-30號,25.0240919,121.5267202
97,自行車竊盜,1040405,16~18,台北市中山區敬業三路121-150號,25.0817744,121.5558025
98,自行車竊盜,1040405,22~24,台北市內湖區湖元里舊宗路二段內湖運動公園,25.067763,121.573841
99,自行車竊盜,1040405,22~24,台北市大同區南芳里延平北路二段241-270號,25.0620649,121.511392
100,自行車竊盜,1040407,07~09,台北市大安區龍泉里師大路1-30號,25.026164,121.5285658
101,自行車竊盜,1040408,22~24,台北市大安區敦安里8鄰安和路一段78巷1-30號,25.1149781,121.5145635
