"population.density","police.min.dist","buglary.home"
5.6573910361719,5048.20677837199,"good"
5.6573910361719,5081.80472879445,"good"
5.6573910361719,5116.78861370596,"good"
5.6573910361719,5153.13020643228,"good"
5.6573910361719,4922.18891704977,"good"
5.6573910361719,4954.98284176007,"good"
5.6573910361719,4989.20886534281,"good"
5.6573910361719,5024.83772422037,"good"
5.6573910361719,5061.83979599507,"good"
5.6573910361719,5100.18519258981,"good"
5.6573910361719,4766.23221988532,"good"
5.6573910361719,4796.66604278853,"good"
5.6573910361719,4828.61053643901,"good"
5.6573910361719,4862.03592474898,"good"
5.6573910361719,4896.91188289662,"good"
5.6573910361719,4933.20764599545,"good"
5.6573910361719,4970.89211334296,"good"
5.6573910361719,5009.93394774813,"good"
5.6573910361719,5050.30166954435,"good"
5.6573910361719,4642.1953499872,"good"
5.6573910361719,4671.67809406908,"good"
5.6573910361719,4702.72409542226,"good"
5.6573910361719,4735.30260665773,"good"
5.6573910361719,4769.3822232483,"good"
5.6573910361719,4804.93100492724,"good"
5.6573910361719,4841.91659248971,"good"
5.6573910361719,4880.30631937883,"good"
5.6573910361719,4920.06731753946,"good"
5.6573910361719,4961.16661714385,"good"
5.6573910361719,4547.26922069222,"good"
5.6573910361719,4577.36364537187,"good"
5.6573910361719,4609.04521521292,"good"
5.6573910361719,4642.2814355838,"good"
2.6105519821837,4677.03916338184,"good"
5.6573910361719,4713.28473803521,"good"
5.6573910361719,4750.98410701563,"good"
5.6573910361719,4790.10294521424,"good"
5.6573910361719,4830.60676765186,"good"
5.6573910361719,4872.461035134,"good"
5.6573910361719,4423.48832294093,"good"
5.6573910361719,4452.5736546558,"good"
5.6573910361719,4483.30399994938,"good"
5.6573910361719,4515.64577448942,"good"
5.6573910361719,4549.56461260162,"good"
5.6573910361719,4585.02551428553,"good"
5.6573910361719,4621.99298656924,"good"
5.6573910361719,4660.43117833099,"good"
5.6573910361719,4700.30400791548,"good"
5.6573910361719,4741.5752830129,"good"
5.6573910361719,4784.20881242653,"good"
5.6573910361719,4828.16850949413,"good"
5.6573910361719,4328.40350554042,"good"
