"population.density","police.min.dist","buglary.bike"
5.6573910361719,5048.20677837199,0
5.6573910361719,5081.80472879445,0
5.6573910361719,5116.78861370596,0
5.6573910361719,5153.13020643228,0
5.6573910361719,4922.18891704977,0
5.6573910361719,4954.98284176007,0
5.6573910361719,4989.20886534281,0
5.6573910361719,5024.83772422037,0
5.6573910361719,5061.83979599507,0
5.6573910361719,5100.18519258981,0
5.6573910361719,4766.23221988532,0
5.6573910361719,4796.66604278853,0
5.6573910361719,4828.61053643901,0
5.6573910361719,4862.03592474898,0
5.6573910361719,4896.91188289662,0
5.6573910361719,4933.20764599545,0
5.6573910361719,4970.89211334296,0
5.6573910361719,5009.93394774813,0
5.6573910361719,5050.30166954435,0
5.6573910361719,4642.1953499872,0
5.6573910361719,4671.67809406908,0
5.6573910361719,4702.72409542226,0
5.6573910361719,4735.30260665773,0
5.6573910361719,4769.3822232483,0
5.6573910361719,4804.93100492724,0
5.6573910361719,4841.91659248971,0
5.6573910361719,4880.30631937883,0
5.6573910361719,4920.06731753946,0
5.6573910361719,4961.16661714385,0
5.6573910361719,4547.26922069222,0
5.6573910361719,4577.36364537187,0
5.6573910361719,4609.04521521292,0
5.6573910361719,4642.2814355838,0
2.6105519821837,4677.03916338184,0
5.6573910361719,4713.28473803521,0
5.6573910361719,4750.98410701563,0
5.6573910361719,4790.10294521424,0
5.6573910361719,4830.60676765186,0
5.6573910361719,4872.461035134,0
5.6573910361719,4423.48832294093,0
5.6573910361719,4452.5736546558,0
5.6573910361719,4483.30399994938,0
5.6573910361719,4515.64577448942,0
5.6573910361719,4549.56461260162,0
5.6573910361719,4585.02551428553,0
5.6573910361719,4621.99298656924,0
5.6573910361719,4660.43117833099,0
5.6573910361719,4700.30400791548,0
5.6573910361719,4741.5752830129,0
5.6573910361719,4784.20881242653,0
5.6573910361719,4828.16850949413,0
5.6573910361719,4328.40350554042,0
5.6573910361719,4358.12368129855,0
5.6573910361719,4389.51553779996,0
5.6573910361719,4422.54347768774,0
5.6573910361719,4457.17113064379,0
5.6573910361719,4493.36151271788,0
2.6105519821837,4531.07717881986,0
2.6105519821837,4570.28036745805,0
2.6105519821837,4610.93313703524,0
2.6105519821837,4652.99749317757,0
2.6105519821837,4696.43550675152,0
2.6105519821837,4741.2094223806,0
2.6105519821837,4178.03360897826,0
2.6105519821837,4204.90815315519,0
2.6105519821837,4233.55405741621,0
2.6105519821837,4263.93562094035,0
2.6105519821837,4296.01601996962,0
2.6105519821837,4329.75749320766,0
2.6105519821837,4365.12152155889,0
2.6105519821837,4402.06900079619,0
2.6105519821837,4440.56040600332,0
5.6573910361719,4480.55594683764,0
5.6573910361719,4522.01571291921,0
5.6573910361719,4564.8998088442,0
5.6573910361719,4609.16847852382,0
5.6573910361719,4654.78221872574,0
5.6573910361719,4701.7018818533,0
5.6573910361719,4082.14888555162,0
5.6573910361719,4109.65070623615,0
5.6573910361719,4138.95615996091,0
5.6573910361719,4170.02722104216,0
5.6573910361719,4202.82473078746,0
5.6573910361719,4237.30860034104,0
5.6573910361719,4273.43800641182,0
5.6573910361719,4311.17157835897,0
5.6573910361719,4350.46757541458,0
5.6573910361719,4391.28405306239,0
5.6573910361719,4433.5790178899,0
5.6573910361719,4477.31057045382,0
5.6573910361719,4522.43703592814,0
5.6573910361719,4568.91708250066,0
5.6573910361719,4616.70982765723,0
5.6573910361719,3986.47579908079,0
5.6573910361719,4014.63327899506,0
5.6573910361719,4044.62746341398,0
5.6573910361719,4076.41780925483,0
5.6573910361719,4109.96263708385,0
